symbol,regime,vol_ratio,rsi_strength,rsi_div_regular,rsi_div_hidden,macd_div,sentiment_fg,mtf_bias,confluence_score,entry_to_sl,direction_encoded,outcome_win,duration_candles,r_multiple
BTCUSDT,CHOPPY,0.717247896259996,0.15552980255156612,0,0,0,50,0.0,0.07,1.4999999986393127,-1.0,0,1,-1.0
BTCUSDT,CHOPPY,0.7852723821146493,0.2305236686277263,0,0,0,50,0.0,0.08,1.499999998606031,-1.0,1,2,1.333
BTCUSDT,NORMAL,0.9175043336160387,0.01625449055032064,0,0,1,50,0.0,0.07,1.5000000011915045,-1.0,1,9,1.333
BTCUSDT,VOLATILE,1.2529740598418266,0.3528096854196565,0,0,0,50,0.0,0.08,1.4999999990935624,-1.0,0,4,-1.0
BTCUSDT,VOLATILE,1.5538402855184523,0.006666458293333193,0,0,0,50,0.0,0.07,1.4999999999999933,-1.0,0,5,-1.0
BTCUSDT,VOLATILE,1.6149965154080161,0.12311523085304799,1,0,0,50,0.0,0.08,1.5000000000000098,-1.0,0,3,-1.0
BTCUSDT,VOLATILE,1.6862764369533108,0.5402173698923559,0,0,0,50,0.0,0.08,1.4999999993289088,-1.0,0,12,-1.0
BTCUSDT,VOLATILE,1.2484613274628122,0.014937980705108345,1,0,0,50,0.0,0.07,1.5000000000000024,1.0,1,52,1.333
BTCUSDT,NORMAL,1.0694025100657478,0.2924484949679879,1,0,1,50,0.0,0.07,1.5000000008898318,1.0,1,6,1.333
BTCUSDT,NORMAL,0.9426545258773942,0.5754130854080256,0,0,0,50,0.0,0.07,1.5000000000000133,1.0,0,2,-1.0
BTCUSDT,NORMAL,1.0948346157789228,0.031795278439644505,0,0,0,50,0.0,0.07,1.49999999921864,1.0,0,2,-1.0
BTCUSDT,VOLATILE,1.2354009015454819,0.06369794242383577,1,0,0,50,0.0,0.07,1.5000000006800176,1.0,1,51,1.333
BTCUSDT,NORMAL,0.9794099887991817,0.36806176112975353,0,0,0,50,0.0,0.08,1.500000001190996,1.0,1,4,1.333
BTCUSDT,VOLATILE,1.438894214525701,0.46310922659751097,0,0,0,50,0.0,0.08,1.5000000007966252,1.0,1,18,1.333
BTCUSDT,VOLATILE,1.568761862357283,0.4257083261811505,0,0,0,50,0.0,0.07,1.5000000000000133,1.0,0,6,-1.0
BTCUSDT,VOLATILE,1.357675174415024,0.18854959207430752,1,0,0,50,0.0,0.07,1.4999999992385562,1.0,0,29,-1.0
BTCUSDT,NORMAL,0.9727908945399563,0.349783495391861,1,0,1,50,0.0,0.08,1.4999999991334823,-1.0,0,4,-1.0
BTCUSDT,NORMAL,1.1046352875147185,0.12388681241415057,0,0,0,50,0.0,0.07,1.5000000000000007,-1.0,0,12,-1.0
BTCUSDT,NORMAL,1.0485448857399793,0.4189347893272935,0,0,0,50,0.0,0.09,1.5000000000000064,-1.0,1,4,1.333
ETHUSDT,CHOPPY,0.7754959664643815,0.20635218943807318,0,0,0,50,0.0,0.07,1.4999999999999878,-1.0,0,2,-1.0
ETHUSDT,NORMAL,0.8168448817328783,0.08721624850657037,1,0,0,50,0.0,0.07,1.5000000366223716,-1.0,1,1,1.333
ETHUSDT,NORMAL,0.9630413744998946,0.1806388118457545,0,0,0,50,0.0,0.08,1.500000030593069,-1.0,0,7,-1.0
ETHUSDT,VOLATILE,1.320146332160135,0.04911100432484318,0,0,0,50,0.0,0.07,1.4999999999999942,-1.0,0,1,-1.0
ETHUSDT,VOLATILE,1.4836548676429935,0.2548013373765653,0,0,0,50,0.0,0.08,1.4999999999999922,-1.0,0,1,-1.0
ETHUSDT,VOLATILE,1.569903206977843,0.4205302173639899,0,0,0,50,0.0,0.09,1.500000020175234,-1.0,0,13,-1.0
